ID,Label,Num_Stress,Stress_ID,Block,Position,Base_Soil,MP,Drought,Herbicide,Antibiotic,Seed_1_Emergence_Date,Seed_2_Emergence_Date,June_11_Height_cm,June_18_Height_cm,June_25_Height_cm,Jul_2_Height_cm,July_9_Height_cm,July_15_Height_cm,Shoot_Biomass,Root_Biomass,File.Name,Region.of.Interest,Median.Number.of.Roots,Maximum.Number.of.Roots,Number.of.Root.Tips,Total.Root.Length.mm,Depth.mm,Maximum.Width.mm,Width-to-Depth.Ratio,Network.Area.mm2,Convex.Area.mm2,Solidity,Lower.Root.Area.mm2,Average.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Holes,Computation.Time.s,Average.Root.Orientation.deg,Shallow.Angle.Frequency,Medium.Angle.Frequency,Steep.Angle.Frequency,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,TOC_Batch,Broken_Tube_TOC,Date_of_TOC,TOC_Sample_ID,NPOC,NPOC_Unit,Vial,Date_Time
20,xxxM_9,1,MP,7,4,MP,Presence,Absence,Absence,Absence ,June_7,June_7,15.6,25.7,25.7,25.6,25.8,35.9,330.6,211,MO_020.jpg,roi_1,70,116,2438,40495.4828,279.950333,206.375,0.737184,10340.61194,55992.55199,0.184678,10291.38444,0.37703,8.395672,62756.34104,8480.485449,47242.07604,14660,10.609,45.620996,0.331916,0.316107,0.351977,21205.84587,19289.63693,4426.003741,10606.83193,13905.21009,33336.86595,765.915049,7714.570399,3,N,Mar_9,20_EX2,1.621,mg/L,10,3/9/26 14:36
21,xxxM_10,1,MP,17,2,MP,Presence,Absence,Absence,Absence ,June_7,NA,16.8,28.1,27.9,27.4,27.2,34.3,344.4,212.6,MO_021.jpg,roi_1,77,126,2525,47785.57282,282.321,206.332667,0.730844,11422.194,57871.33677,0.197372,11195.68908,0.367878,5.852421,70340.67031,8967.741136,53896.9437,19969,11.306,45.606079,0.334633,0.309601,0.355766,26304.38701,21481.18581,5259.002023,11891.32519,16522.12238,37374.82132,877.128302,8090.612834,2,N,Mar_5,21_EX2,1.373,mg/L,7,3/5/26 18:51
22,xxxM_11,1,MP,3,10,MP,Presence,Absence,Absence,Absence ,June_6,June_7,17.6,29.3,28.7,27.7,36.1,42.2,392,190.8,MO_022.jpg,roi_1,46,74,4863,26143.6766,282.532667,208.999667,0.739736,7637.190819,59028.41868,0.129382,7095.191903,0.437818,9.355188,41673.21328,9539.366682,35551.24231,5116,5.01,46.388388,0.325907,0.308315,0.365777,12952.79089,13190.88571,2933.060637,8381.917508,9214.644753,26336.59755,539.613848,8999.752834,3,N,Mar_9,22_EX2,0.7885,mg/L,11,3/9/26 14:52
23,xDxx_1,1,Drought,4,8,Untreated,Absence,Presence,Absence,Absence ,June_6,June_10,15.1,26.9,28,29.1,29.3,29,199.3,137.8,MO_023.jpg,roi_1,39,77,6469,23824.91345,282.532667,208.999667,0.739736,7212.191669,59028.42675,0.122182,6584.106903,0.480361,6.800794,35910.7073,9147.749947,35445.1284,4807,4.184,46.092475,0.335594,0.30111,0.363296,8817.824383,15007.08907,2014.039803,9266.318337,6327.407878,29117.72052,376.842248,8770.907698,3,N,Mar_9,23_EX2,0.2791,mg/L,12,3/9/26 15:08
24,xDxx_2,1,Drought,5,6,Untreated,Absence,Presence,Absence,Absence ,June_6,June_7,9,15.5,19.3,20.7,20.6,20.5,42,29.8,MO_024.jpg,roi_1,10,70,1497,5915.720958,282.532667,204.300667,0.723105,2309.798248,54021.314,0.042757,2309.798248,0.615751,5.80013,9958.456956,3707.069076,11117.86,467,2.316,46.800752,0.33444,0.286702,0.378858,1777.258042,4138.462917,397.011752,3141.65348,1247.284813,9870.575189,72.997674,3634.071402,1,N,Mar_2,24_EX2,0.4065,mg/L,5,3/2/26 11:34
25,xDxx_3,1,Drought,8,2,Untreated,Absence,Presence,Absence,Absence ,June_6,June_7,11.9,21.9,23.4,24.2,23.9,27.6,126.7,51.9,MO_025.jpg,roi_1,14,75,1607,7276.00351,282.532667,204.300667,0.723105,2560.613158,45552.0442,0.056213,2560.613158,0.597978,5.941767,11861.69227,4829.035626,13323.39021,856,2.456,47.990463,0.315782,0.283914,0.400304,2862.87686,4413.12665,664.158538,3576.413471,2086.515584,11236.87462,124.938018,4704.097608,1,N,Mar_2,25_EX2,-0.01645,mg/L,6,3/2/26 11:45
26,xDxx_4,1,Drought,11,2,Untreated,Absence,Presence,Absence,Absence ,June_6,June_7,13.1,22.9,26.3,26.5,26.5,28.4,178.6,123.7,MO_026.jpg,roi_1,34,105,4245,20530.62741,282.532667,204.300667,0.723105,6300.49636,54830.28729,0.114909,6300.49636,0.501688,5.924247,30880.23817,8239.353088,31711.23409,4368,4.177,45.706158,0.341345,0.295941,0.362714,7143.93483,13386.69258,1664.907236,8427.621708,5230.492191,26480.7419,315.237058,7924.11603,2,N,Mar_5,26_EX2,0.4738,mg/L,8,3/5/26 19:02
27,xDxx_5,1,Drought,14,10,Untreated,Absence,Presence,Absence,Absence ,June_6,June_7,11.7,24.2,26.4,26.2,25.9,25.6,114.3,47,MO_027.jpg,roi_1,23,51,2192,12259.74616,278.426333,208.407,0.748518,3585.747309,56557.24262,0.0634,3540.252776,0.409451,4.733011,21391.38037,2980.142873,15468.83075,1330,2.941,47.556525,0.316109,0.304548,0.379343,6178.165859,6081.580298,1425.584533,3497.85575,4478.669592,10990.16116,266.327667,2713.815206,2,N,Mar_5,27_EX2,0.1324,mg/L,9,3/5/26 19:17
28,xDxx_6,1,Drought,2,4,Untreated,Absence,Presence,Absence,Absence ,June_6,June_7,11.9,20.7,20.2,20.1,20.6,25.4,133.1,64.2,MO_028.jpg,roi_1,14,55,2094,9834.271072,278.426333,208.407,0.748518,3061.124702,56371.56468,0.054303,2969.868612,0.475322,4.843052,15853.27368,3292.19798,14431.21669,1554,2.696,49.293723,0.299387,0.28783,0.412783,3995.330673,5838.940399,924.599493,3668.546649,2904.714974,11526.50171,173.489703,3118.708277,3,N,Mar_9,28_EX2,0.2842,mg/L,13,3/9/26 15:24
29,xDxx_7,1,Drought,17,8,Untreated,Absence,Presence,Absence,Absence ,June_6,June_7,14.1,28,32.7,32.1,32.6,32.6,226.7,206.4,MO_029.jpg,roi_1,42,87,3754,22655.99867,278.426333,208.407,0.748518,6720.57258,56982.9156,0.11794,6511.103465,0.424849,8.671619,37454.7553,6622.775106,29789.33131,3706,4.038,47.512636,0.314338,0.306806,0.378856,10144.37505,12511.62362,2378.540828,7102.215053,7472.456749,22316.87456,449.888305,6172.886801,2,N,Mar_5,29_EX2,0.6795,mg/L,10,3/5/26 19:32
30,xDxx_8,1,Drought,4,9,Untreated,Absence,Presence,Absence,Absence ,June_6,June_6,13.3,27.6,30.7,32.1,32.2,31.8,208,165.8,MO_030.jpg,roi_1,41,195,6281,23858.72454,281.347333,208.407,0.740746,6071.932301,58187.60406,0.104351,5798.931054,0.42456,7.015592,37353.09723,7771.186742,31221.05924,5245,4.759,46.263227,0.332497,0.297921,0.369581,13217.1501,10641.57444,2858.675681,7077.566958,8981.021722,22240.03752,508.659386,7262.527356,2,N,Mar_5,30_EX2,0.2788,mg/L,11,3/5/26 19:46
31,xDxx_9,1,Drought,6,6,Untreated,Absence,Presence,Absence,Absence ,June_6,NA,20.5,36.5,36.8,35.7,36.6,35.9,294.8,162.8,MO_031.jpg,roi_1,56,116,1804,31438.15984,280.204333,206.036333,0.735307,7866.966345,56646.42165,0.138878,7698.26955,0.362167,5.831561,48970.21852,5060.802921,34940.84365,10215,8.113,45.291028,0.338796,0.312977,0.348227,17167.46316,14270.69668,3721.891888,7396.445014,11692.94151,23247.90214,659.607141,4401.19578,3,N,Mar_9,31_EX2,0.613,mg/L,14,3/9/26 15:40
32,xDxx_10,1,Drought,5,1,Untreated,Absence,Presence,Absence,Absence ,June_6,June_6,14.4,27.1,28.6,29,29.5,29.2,199.8,102.1,MO_032.jpg,roi_1,33,54,1339,16005.72013,280.797,206.036333,0.733755,4181.020312,56932.72664,0.073438,4122.934406,0.333269,7.283302,28313.37403,2529.683244,16563.23826,2848,5.607,48.168613,0.296094,0.304377,0.399529,9800.878878,6204.84125,2146.232504,3124.975675,6742.636041,9820.602219,383.420256,2146.262988,3,N,Mar_9,32_EX2,1.339,mg/L,15,3/9/26 15:57
33,xDxx_11,1,Drought,4,5,Untreated,Absence,Presence,Absence,Absence ,June_7,NA,13.2,26.6,26.6,29.2,29,29.1,232.8,178.5,MO_033.jpg,roi_1,46,133,2004,28222.67884,278.595667,206.036333,0.739553,7644.615535,51994.93992,0.147026,7584.809203,0.373849,7.19318,45773.85981,5037.596601,32632.01384,8216,8.509,45.20018,0.331274,0.330495,0.338231,13668.9381,14553.74074,3055.706544,7329.257878,9599.861941,23032.1519,557.474035,4480.122566,3,N,Mar_9,33_EX2,0.4036,mg/L,16,3/9/26 16:13
34,xxHx_1,1,Herbicide,6,1,Untreated,Absence,Absence,Presence,Absence ,June_6,June_7,13,27.9,34.1,34.2,34.5,34,244.6,150.3,MO_034.jpg,roi_1,48,78,1970,25044.17842,280.797,203.115333,0.723353,6375.702302,52677.29429,0.121033,6167.037845,0.353692,7.118549,41106.86504,4942.758747,27467.84829,6548,6.86,46.477618,0.315414,0.321303,0.363283,14899.7999,10144.37852,3262.397941,5478.320061,10249.52727,17218.32102,581.824691,4360.934056,3,N,Mar_9,34_EX2,3.327,mg/L,17,3/9/26 16:25
35,xxHx_2,1,Herbicide,14,8,Untreated,Absence,Absence,Presence,Absence ,June_6,June_7,10.3,19.6,26.9,26.9,27.1,27.6,156.1,75.2,MO_035.jpg,roi_1,27,58,1073,12668.74113,269.832667,206.671333,0.765924,3379.516538,45724.07074,0.073911,3277.283768,0.343784,6.020866,22091.66533,1869.684634,13484.75817,2412,4.735,46.213498,0.320977,0.320242,0.358781,7436.249816,5232.491316,1643.165582,2648.711822,5162.213949,8322.544223,295.572039,1574.112594,3,N,Mar_9,35_EX2,0.3796,mg/L,18,3/9/26 16:41
36,xxHx_3,1,Herbicide,15,3,Untreated,Absence,Absence,Presence,Absence ,June_6,June_8,9,24.8,28.8,31.2,30.6,31.3,152,82.1,MO_036.jpg,roi_1,32,88,1410,19071.66076,278.468667,206.671333,0.742171,5051.217496,55763.37055,0.090583,4304.919706,0.350672,5.748611,32081.37732,2671.679675,20651.60572,4706,6.21,47.706844,0.309254,0.303357,0.387389,10540.33389,8531.326872,2311.752528,4260.866801,7262.799292,13388.80642,414.374211,2257.305464,1,N,Mar_2,36_EX2,0.5091,mg/L,7,3/2/26 12:00
37,xxHx_4,1,Herbicide,2,7,Untreated,Absence,Absence,Presence,Absence ,June_6,June_7,13.3,28.4,28.2,28.5,28.7,29,184.6,68,MO_037.jpg,roi_1,28,69,1181,15780.44029,278.468667,206.671333,0.742171,4035.481176,50469.57469,0.079959,3983.395259,0.333401,4.826743,26862.79489,1891.467438,16261.01021,3664,5.419,45.812065,0.332611,0.316523,0.350866,9059.347075,6721.093214,1980.635508,3194.623177,6222.349962,10038.66025,353.214055,1538.253383,2,N,Mar_5,37_EX2,0.7044,mg/L,12,3/5/26 20:01
38,xxHx_5,1,Herbicide,15,1,Untreated,Absence,Absence,Presence,Absence ,June_6,June_7,10,21.2,23.3,23.7,23.4,23.8,48.8,19.3,MO_038.jpg,roi_1,6,22,273,3331.81326,278.468667,192.405,0.690939,993.492637,36876.90474,0.026941,935.404939,0.39992,4.969436,6018.265227,728.770869,4149.686204,471,3.266,49.776662,0.283266,0.319594,0.39714,1493.351845,1838.461415,331.794509,989.070735,1042.363191,3107.323012,60.164998,668.605871,3,Y,Mar_9,38_EX2,20.51,mg/L,19,3/9/26 16:55
39,xxHx_6,1,Herbicide,13,6,Untreated,Absence,Absence,Presence,Absence ,June_7,June_8,9,21.7,26.3,28.6,28.8,30,106.6,54.7,MO_039.jpg,roi_1,29,71,1041,13567.87586,278.468667,205.401333,0.73761,3419.177749,55075.50186,0.062082,3341.887581,0.325068,5.041045,24186.60953,1657.052927,13633.58701,2512,5.545,49.466908,0.283124,0.308474,0.408402,8333.827817,5234.04804,1817.335749,2522.057094,5709.479476,7924.10753,324.167485,1332.885442,3,N,Mar_9,39_EX2,0.1961,mg/L,20,3/9/26 17:10
40,xxHx_7,1,Herbicide,7,3,Untreated,Absence,Absence,Presence,Absence ,June_8,June_8,9.4,23.6,25.1,29.1,29,29,148,66.5,MO_040.jpg,roi_1,29,78,1161,16038.84417,278.468667,206.671333,0.742171,4139.66914,57235.4841,0.072327,3917.162417,0.344244,6.453022,27571.72472,2508.921635,17122.52366,3722,5.747,45.282702,0.333531,0.333223,0.333246,8919.571596,7119.272578,1987.71586,3461.846226,6244.724696,10877.79896,360.765747,2148.155887,1,N,Mar_2,40_EX2,1.17,mg/L,8,3/2/26 12:14
41,xxHx_8,1,Herbicide,3,1,Untreated,Absence,Absence,Presence,Absence ,June_6,NA,12.7,24.5,31.5,31.6,31.7,32.2,190.8,125.4,MO_041.jpg,roi_1,43,85,1597,23414.03845,278.468667,206.671333,0.742171,6045.866044,55213.02667,0.109501,5963.909219,0.35294,7.17322,39354.66468,4224.66486,25526.77861,5653,6.609,46.611629,0.323884,0.307559,0.368557,13979.51017,9434.528282,3009.108959,5114.887882,9453.531247,16073.24736,529.622173,3695.042687,2,N,Mar_5,41_EX2,0.5791,mg/L,13,3/5/26 20:15
42,xxHx_9,1,Herbicide,16,6,Untreated,Absence,Absence,Presence,Absence ,June_6,June_7,9,17.6,18.6,18.1,18.6,25.3,136.6,77,MO_042.jpg,roi_1,29,64,1080,16535.555,275.336,201.803,0.732934,4102.081402,49266.97674,0.083262,4010.708824,0.328586,6.318879,28102.25498,2274.393722,16768.74852,3619,5.121,44.436216,0.34664,0.32416,0.3292,10270.23894,6265.316051,2133.18416,3203.846618,6701.631295,10067.11723,366.384167,1908.009555,3,N,Mar_9,42_EX2,0.3588,mg/L,21,3/9/26 17:26
43,xxHx_10,1,Herbicide,8,1,Untreated,Absence,Absence,Presence,Absence ,June_6,June_7,10.1,24.8,31,31.3,31.7,31.6,148,135.4,MO_043.jpg,roi_1,38,86,1598,20937.29561,279.019,204.893333,0.734335,5671.89009,51992.20516,0.109091,5149.425185,0.372347,7.157214,34896.39678,4574.451104,24226.47419,5015,6.446,46.93127,0.313766,0.319257,0.366977,11421.65174,9515.643869,2545.476439,5165.087526,7996.866005,16229.60819,462.289672,4112.161432,2,N,Mar_5,43_EX2,0.3194,mg/L,14,3/5/26 20:30
44,xxHx_11,1,Herbicide,12,3,Untreated,Absence,Absence,Presence,Absence ,June_7,June_7,9.3,22.8,30.6,32.1,31.9,31.9,195.1,100.3,MO_044.jpg,roi_1,36,72,1564,19465.70278,283.760333,204.893333,0.722065,5183.615081,57641.66429,0.089928,4489.216828,0.370193,7.244321,32859.75237,4212.749381,22180.6155,4271,6.033,46.502544,0.31351,0.32006,0.366431,11317.31303,8148.38975,2479.515534,4579.762296,7789.659635,14390.95587,443.26758,3769.481802,2,N,Mar_5,44_EX2,0.2426,mg/L,15,3/5/26 20:45
45,Axxx_1,1,Antibiotic,17,9,AB,Absence,Absence,Absence,Presence,June_7,NA,14.1,24.6,25.8,28.3,28.5,32.6,251.5,84.9,MO_045.jpg,roi_1,41,81,1483,21685.20938,279.061333,204.893333,0.734223,4867.897074,53894.77841,0.090322,4684.193141,0.289705,5.612321,37587.7576,2188.266257,19398.23523,4885,6.523,45.516233,0.330583,0.32055,0.348867,15064.5839,6620.625478,3035.454035,3138.01753,9536.445231,9861.79,506.336617,1681.92964,3,N,Mar_9,45_EX2,3.307,mg/L,22,3/9/26 17:42
